Part Name,Part Density(g/cm(Cube)),Tensile Strength(Mpa),Stiffness(Gpa),Thermal Conductivity(Watt Per Meter Kelvin),Cost(RS),Stress Requirement(Mpa),Operating Temperature(Degree centigrade),Suggested Material
Crankshaft,2.146983773,1223.471077,34.96230135,91.93833953,4246.160742,769.9767794,303.9515958,Titanium
Fuel Injectors,3.332896763,1336.683582,160.2109919,86.10061389,5479.47378,454.6980501,764.1343862,Titanium
Positive Displacement Pumps,4.300133116,623.3704691,149.4148849,101.6458497,779.4301928,418.0608492,237.0733909,Letnol
Gear,2.430076114,277.29013,126.8222397,190.7091805,3651.612347,492.6806054,516.7411304,Stainless Steel
Intake Manifolds,1.299211256,237.0891884,23.23841591,168.5370408,4828.197411,422.5292786,52.73284813,Titanium
Cylinder Heads,2.836271783,1175.41277,76.36869263,99.36717852,3993.24341,571.4371704,623.6618036,Titanium
Positive Displacement Pumps,5.76360927,872.4611133,60.62832064,17.39241344,2690.630896,132.597929,431.319225,Stainless Steel
Gear Wheels,1.01159558,1160.35624,168.2029221,194.6228035,1129.514868,102.5785714,748.0951784,Medium Carbon Steel
Turbine Blade,7.662634757,487.1554696,177.5889943,10.81955685,3433.312428,127.6823772,356.6095481,Stainless Steel
Crank Linkage Systems,1.076315401,704.1761796,152.2716496,164.1554126,1497.70424,806.8665198,730.983334,High Carbon Steel
Casing,7.05356437,530.6777846,34.05101432,183.7664485,4283.790084,697.4118136,289.5368815,Titanium
Rocker Arms,2.214488529,104.7328952,108.1499535,155.8958061,2467.243572,220.8869866,443.9309133,Stainless Steel
Intake Manifolds,5.059165901,36.39264343,9.982537822,105.0909365,2508.61581,107.0432989,609.7220073,Stainless Steel
Gear,3.460207831,1045.751231,10.18359578,168.0418568,872.4306105,872.126323,790.8586991,High Carbon Steel
Engine Blocks,3.623787602,1020.021369,77.06335899,28.1611678,5056.174186,969.8985471,287.3558081,Titanium
Electromagnetic Clutches,4.736831041,960.3892482,202.4857293,149.9100578,1349.430204,159.5282845,711.3554756,Medium Carbon Steel
Casing,7.043232208,659.8694917,105.1414884,143.6810262,5833.995333,59.81103293,572.3301033,Carbon Fiber
Bearing,5.942934794,820.631066,137.6483512,140.1595651,2454.260095,277.2682452,427.1074621,Stainless Steel
Timing Belts,1.002429154,1453.94227,91.22744454,101.621622,5884.53272,34.47996401,98.41116582,Carbon Fiber
Oil Pumps,4.520441424,1177.745346,8.409691818,181.0346404,3191.91674,655.1522615,544.8110915,High-speed Steel
Pneumatic Brakes,5.183703486,369.3295384,68.35956087,99.95164082,3725.837051,25.61605073,219.3015356,Stainless Steel
Planetary Gears,3.379538793,821.0956177,59.98000994,156.144601,5791.537852,306.8604602,595.7841725,Carbon Fiber
Coupling,1.068804208,974.3814069,167.0229161,185.4645736,4923.277463,243.5560462,135.5066323,Titanium
Gaskets,5.35644653,755.4191822,172.547227,32.85797872,3292.236053,895.5722482,579.3402636,High-speed Steel
Coupling,2.642589331,1245.393201,122.8777242,66.23588597,3180.10092,53.39721494,319.6876954,High-speed Steel
Spur Gears,2.112324337,1001.946143,87.79280113,135.5739894,5581.95703,578.3003988,395.1641241,Carbon Fiber
Oil Pumps,6.162562719,1479.032707,197.9492108,9.282589591,5490.058876,403.286546,181.6585199,Carbon Fiber
Bearing,1.857409466,250.6619066,75.660908,154.1370459,4114.773942,588.245382,479.0584963,Titanium
Electromagnetic Clutches,1.387597544,655.0322315,194.1695793,130.8993854,727.7581716,519.2957843,798.3906595,Letnol
Shaft Seals,7.733487583,1324.07351,179.2371786,187.4859977,3820.921213,81.19816746,147.9152173,High-speed Steel
Gear Wheels,4.024860115,340.8711547,111.0761926,6.006593647,5330.825047,400.0893877,783.580543,Titanium
Lip Seals,2.407141232,182.892981,157.9297489,38.09980523,1765.197048,128.5721621,131.6293017,Aluminum Alloy
Spur Gears,2.476351673,119.100622,159.1853122,194.105721,1146.407959,779.7096595,469.2264224,Low Carbon Steel
Connecting Rods,6.053215118,878.7482596,37.41788334,12.89183904,5639.450437,693.3405473,454.8392225,Carbon Fiber
Gear Pumps,7.035241094,1496.567339,173.6661312,140.7632577,3052.87194,151.2851141,326.3222577,High-speed Steel
Multi-plate Clutches,1.649866319,692.3665251,134.5987211,100.8595681,5176.469236,271.0072969,631.871523,Titanium
Vane Pumps,6.204112029,1273.452691,77.35109444,143.8354818,5489.436911,540.1092596,332.8744745,Carbon Fiber
Planetary Gears,7.498123511,394.883662,208.936017,183.8163327,1611.491662,804.1707407,581.3699218,Brass
Ball Bearing,6.947226816,458.7453947,8.378341227,96.35993412,3354.996924,319.1585566,426.046419,Stainless Steel
Spur Gears,3.629432546,352.2468231,87.84839331,21.62804847,3038.462866,336.2352079,289.1405226,Stainless Steel
Multi-plate Clutches,4.488619704,531.06006,48.71209338,128.3160222,4424.503639,826.9258033,349.0521775,Titanium
Fuel Injectors,3.855233218,910.7903321,148.9696789,146.264549,5615.05098,269.8099153,311.5438327,Carbon Fiber
Worm Gears,7.319359847,549.4833052,79.05794897,41.5183924,1811.059978,582.6586454,323.7090855,Brass
Crankshafts,2.220843992,1283.957693,143.7488402,10.75462623,5581.550913,205.9943127,507.9944209,Carbon Fiber
Hydraulic Brakes,1.644450785,566.9192329,63.49799812,191.1723245,4546.903109,702.0209966,225.3558695,Titanium
Cone Clutches,4.282307396,1114.073033,144.8092496,55.11991036,3452.461729,911.983393,642.0153206,High-speed Steel
Parking Brakes,6.263870933,107.1165355,176.0183407,136.2910684,1420.894558,294.81556,459.6488514,Mild Steel
